,Log_Observed,Log_Trend,Log_Seasonal,Log_Residual,Trend,Seasonal,Residual
2003-01-01,141.0,,0.8233333346097782,,,2.2780808011471296,
2003-02-01,157.0,,0.8438594442293782,,,2.325324139659737,
2003-03-01,185.0,,1.012370203629064,,,2.7521163668117086,
2003-04-01,199.0,,1.0805564217875425,,,2.9463184908536855,
2003-05-01,203.0,,1.1857930472996667,,,3.273281659596461,
2003-06-01,189.0,,1.1209126141547059,,,3.0676525093136613,
2003-07-01,207.0,176.16666666666666,1.2360237586410796,0.9506481114381645,3.2226358096072265e+76,3.441900392892941,2.587386030500811
2003-08-01,207.0,176.79166666666666,1.2301349405850288,0.9518221367902235,6.020676323575019e+76,3.421691230154738,2.5904254711372503
2003-09-01,171.0,177.75,0.9619638908087422,1.000063854420671,1.5697993983709781e+77,2.6168305999042647,2.7184554083122836
2003-10-01,150.0,178.625,0.8364099250857622,1.0039910460068038,3.765752993236554e+77,2.30806595536569,2.7291522941310564
2003-11-01,138.0,179.29166666666666,0.7655329367547276,1.005437551125188,7.334685295130305e+77,2.1501399579777916,2.7331028834783795
2003-12-01,165.0,180.41666666666663,0.9031094824145235,1.0126675352079875,2.2592421227571045e+78,2.4672631069168904,2.752934779580385
2004-01-01,145.0,182.54166666666666,0.8233333346097782,0.9647844421868145,1.8916402694704808e+79,2.2780808011471296,2.6242219239634914
2004-02-01,168.0,185.125,0.8438594442293782,1.0754100603600958,2.504759095563055e+80,2.325324139659737,2.9311946208496664
2004-03-01,197.0,187.58333333333331,1.012370203629064,1.0373674643780773,2.9268910974468427e+81,2.7521163668117086,2.8217787947638655
2004-04-01,208.0,189.5,1.0805564217875425,1.0157964060770879,1.989776606685963e+82,2.9463184908536855,2.7615618464677545
2004-05-01,210.0,190.83333333333331,1.1857930472996667,0.9280174847783634,7.548551630376032e+82,3.273281659596461,2.5294894520791074
2004-06-01,209.0,192.70833333333331,1.1209126141547059,0.9675513745185267,4.922273980215508e+83,3.0676525093136613,2.6314930231312723
2004-07-01,238.0,195.58333333333331,1.2360237586410796,0.9845058356008114,8.724939394135495e+84,3.441900392892941,2.6764889320249545
2004-08-01,238.0,198.5,1.2301349405850288,0.9746836739347629,1.6123326841102515e+86,3.421691230154738,2.650328710317271
2004-09-01,199.0,202.0,0.9619638908087422,1.0241013454499328,5.339312554208246e+87,2.6168305999042647,2.7845919496129783
